rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
57920939,300,2342,2016-09-02T08:03:00Z,,"Brushfield Street, Liverpool Street",2016-09-02T07:58:00Z,,"Selby Street, Whitechapel",1161,200135,1
58006930,2100,4105,2016-09-05T00:25:00Z,,"Horseferry Road, Westminster",2016-09-04T23:50:00Z,,"Tavistock Street, Covent Garden",1170,1207,0
58072259,420,1591,2016-09-06T20:17:00Z,,"Wellington Row, Bethnal Green",2016-09-06T20:10:00Z,,"Pott Street, Bethnal Green",200165,200156,0
58002916,780,12940,2016-09-04T19:57:00Z,,"Somerset House, Strand",2016-09-04T19:44:00Z,,"Ashley Place, Victoria",200068,1122,0
58040725,1020,2361,2016-09-06T08:15:00Z,,"Stanhope Gate, Mayfair",2016-09-06T07:58:00Z,,"Belgrove Street , King's Cross",3506,1011,0
57945145,960,5173,2016-09-02T18:31:00Z,,"Pennington Street, Wapping",2016-09-02T18:15:00Z,,"Newgate Street , St. Paul's",200090,1074,0
57910730,660,9771,2016-09-01T19:36:00Z,,"Bouverie Street, Temple",2016-09-01T19:25:00Z,,"Great Tower Street, Monument",1021,1080,0
57872853,2280,5872,2016-08-31T22:01:00Z,,"Grove End Road, St. John's Wood",2016-08-31T21:23:00Z,,"Albert Gate, Hyde Park",1130,1132,0
57981789,6240,13650,2016-09-04T12:14:00Z,,"Buckingham Gate, Westminster",2016-09-04T10:30:00Z,,"Lancaster Gate , Bayswater",200178,200017,0
57954398,480,10786,2016-09-03T04:04:00Z,,"LMU Commercial Road, Whitechapel",2016-09-03T03:56:00Z,,"Bethnal Green Road, Shoreditch",1105,973,0
58002007,660,4135,2016-09-04T19:24:00Z,,"Stepney Green Station, Stepney",2016-09-04T19:13:00Z,,"Westferry DLR, Limehouse",200012,200238,0
58010937,960,10337,2016-09-05T08:53:00Z,,"Ethelburga Estate, Battersea Park",2016-09-05T08:37:00Z,,"Kennington Lane Tesco, Vauxhall",300005,1168,0
